osm_id;osm_name
111948413;Alameda del Poeta del la Rivera
111880959;Los Rosales
108165101;Otuzco
71210255;Pedro Bermudez
111929122;Los Industriales
115514088;Las Malvas
111932975;Calle 3
24316035;Sasone
129197969;Jose de Acosta
37019806;Las Nandinas
28797613;Av. Almirante Miguel Grau
163968761;Calle 23
119881211;Huayna Capac
111929206;Calle 10
111951855;Atahualpa
186345464;Minerales
91568638;Leonardo Arrieta
111918743;A
111891285;Yungay
111888580;Ricardo Rivera Navarrete
122215586;La Oroya
71082506;Abancay
111961574;Hipolito Unanue
111922922;Alejandro Deustua
124146822;Calle 9
17580114;Calle 8
115715364;La Union
118423712;Los Delegados
111916827;Galilea
111910960;La Mar
111961405;Rosa Toledo
70824371;Las Camelias
111957003;Calle 2
35486867;Nicolas Arriola
111942169;San Martin
24332226;Durand
122375880;Los Topacios
